first_name,last_name,city,state,email
Jeanice,Claucherty,Miami,FL,jeanice.claucherty@yahoo.com
Josphine,Villanueva,Moss,TN,josphine_villanueva@villanueva.com
Daniel,Perruzza,Santa Ana,CA,dperruzza@perruzza.com
Cassi,Wildfong,Rolling Meadows,IL,cassi.wildfong@aol.com
Britt,Galam,Hatfield,PA,britt@galam.org
Adell,Lipkin,Whippany,NJ,adell.lipkin@lipkin.com
Jacqueline,Rowling,Erie,PA,jacqueline.rowling@yahoo.com
Lonny,Weglarz,Salt Lake City,UT,lonny_weglarz@gmail.com
Lonna,Diestel,Fayetteville,NC,lonna_diestel@gmail.com
Cristal,Samara,Los Angeles,CA,cristal@cox.net
Kenneth,Grenet,East Lansing,MI,kenneth.grenet@grenet.org
Elli,Mclaird,Utica,NY,emclaird@mclaird.com
Alline,Jeanty,South Bend,IN,ajeanty@gmail.com
Sharika,Eanes,Orlando,FL,sharika.eanes@aol.com
Nu,Mcnease,Harrison,NJ,nu@gmail.com
Daniela,Comnick,Trenton,NJ,dcomnick@cox.net
Cecilia,Colaizzo,Madison,WI,cecilia_colaizzo@colaizzo.com
Leslie,Threets,Katonah,NY,leslie@cox.net
Nan,Koppinger,Greensboro,NC,nan@koppinger.com
Izetta,Dewar,Baltimore,MD,idewar@dewar.com
Tegan,Arceo,Monroe Township,NJ,tegan.arceo@arceo.org
Ruthann,Keener,Kerrville,TX,ruthann@hotmail.com
Joni,Breland,Elk Grove Village,IL,joni_breland@cox.net
Vi,Rentfro,Freehold,NJ,vrentfro@cox.net
Colette,Kardas,Omaha,NE,colette.kardas@yahoo.com
Malcolm,Tromblay,Annandale,VA,malcolm_tromblay@cox.net
Ryan,Harnos,Plano,TX,ryan@cox.net
Jess,Chaffins,New York,NY,jess.chaffins@chaffins.org
Sharen,Bourbon,Syosset,NY,sbourbon@yahoo.com
Nickolas,Juvera,Crystal River,FL,nickolas_juvera@cox.net
Gary,Nunlee,Fortville,IN,gary_nunlee@nunlee.org
Diane,Devreese,Saint Joseph,MO,diane@cox.net
Roslyn,Chavous,Jackson,MS,roslyn.chavous@chavous.org
Glory,Schieler,Abilene,TX,glory@yahoo.com
Rasheeda,Sayaphon,Saratoga,CA,rasheeda@aol.com
Alpha,Palaia,Cherry Hill,NJ,alpha@yahoo.com
Refugia,Jacobos,Hayward,CA,refugia.jacobos@jacobos.com
Shawnda,Yori,Longwood,FL,shawnda.yori@yahoo.com
Mona,Delasancha,Cheyenne,WY,mdelasancha@hotmail.com
Gilma,Liukko,Garden City,NY,gilma_liukko@gmail.com
Janey,Gabisi,Madison,WI,jgabisi@hotmail.com
Lili,Paskin,Kearny,NJ,lili.paskin@cox.net
Loren,Asar,Old Forge,PA,loren.asar@aol.com
Dorothy,Chesterfield,San Diego,CA,dorothy@cox.net
Gail,Similton,Thousand Palms,CA,gail_similton@similton.com
Catalina,Tillotson,Margate City,NJ,catalina@hotmail.com
Lawrence,Lorens,Providence,RI,lawrence.lorens@hotmail.com
Carlee,Boulter,Abilene,KS,carlee.boulter@hotmail.com
Thaddeus,Ankeny,Roseville,CA,tankeny@ankeny.org
Jovita,Oles,Daytona Beach,FL,joles@gmail.com
Alesia,Hixenbaugh,Washington,DC,alesia_hixenbaugh@hixenbaugh.org
Lai,Harabedian,Novato,CA,lai@gmail.com
Brittni,Gillaspie,Boise,ID,bgillaspie@gillaspie.com
Raylene,Kampa,Elkhart,IN,rkampa@kampa.org
Flo,Bookamer,Alliance,NE,flo.bookamer@cox.net
Jani,Biddy,Seattle,WA,jbiddy@yahoo.com
Chauncey,Motley,Orlando,FL,chauncey_motley@aol.com
